Designator,Mid X,Mid Y,Layer,Rotation
C1,11,54,Top,270
C2,26,20.9,Top,270
C3,39.9,45.9,Top,90
C4,17.1,71.9,Top,0
C5,27.5,116.5,Top,180
C6,22.7,96.4,Top,270
C12,9,46,Top,180
C14,37.4,97.6,Top,0
CONN1,27,26,Top,180
IC3,9,49,Top,0
J1,25.1,104.6,Top,180
SW1,3.2,87.5,Top,270
SW2,46.1,43.4,Top,90
SW3,3.2,43.4,Top,270
SW4,46.1,87.5,Top,90
U1,20.3,96.4,Top,0
U3,15,56,Top,0
U4,15,50,Top,0
U5,15,43,Top,0
U6,15,36,Top,0
U7,15.45,29.17,Top,90
U8,20.26,22.45,Top,0
U9,25.66,16.9,Top,180
U10,31.66,22.55,Top,180
U11,36.82,29.36,Top,270
U12,37,36,Top,0
U13,37,43,Top,0
U14,37,49,Top,0
U15,36.7,56.7,Top,270
U16,29,63,Top,0
U17,23,69,Top,0
U18,17,75,Top,0
U19,14.5,82,Top,0
U20,14.5,88.5,Top,0
U21,14.5,94.5,Top,0
U22,14.5,101,Top,0
U23,16.5,107,Top,0
U24,19.8,113,Top,0
U25,25,119,Top,0
U26,30.5,113,Top,0
U27,34,107,Top,0
U28,36,100.5,Top,0
U29,36,94.5,Top,0
U30,36,88.5,Top,0
U31,36,82,Top,0
U32,36,75.5,Top,0
